name,url,system list,package list,readme
agvs_common,http://rosindex.github.io/r/agvs_common/,indigo,"agvs_common,agvs_description,agvs_pad","b'<div class=""panel-body"">\n            \n              \n<div class=""rendered-markdown"">\n<h1 id=""agvs_common"">agvs_common</h1>\n\n<p>Agvs robot common packages. These packages are share by the simulated and real robot.</p>\n\n<h2 id=""agvs_description"">agvs_description</h2>\n\n<p>This package contains the robot model (urdf, meshes, ...).</p>\n\n<h2 id=""agvs_pad"">agvs_pad</h2>\n\n<p>This package is intended to control the robot by a pad or joystick.</p>\n</div>\n\n            \n          </div>'"
jsk_control,http://rosindex.github.io/r/jsk_control/,"hydro,groovy,indigo","contact_states_observer,eus_nlopt,eus_qp,eus_qpoases,joy_mouse,jsk_calibration,jsk_control,jsk_footstep_controller,jsk_footstep_planner,jsk_ik_server,jsk_teleop_joy","b'<div class=""panel-body"">\n            \n              \n<div class=""rendered-markdown"">\n<h1 id=""jsk_control"">jsk_control <a href=""https://travis-ci.org/jsk-ros-pkg/jsk_control""><img src=""https://travis-ci.org/jsk-ros-pkg/jsk_control.png?branch=master"" alt=""Build Status""></a>\n</h1>\n\n<p>jsk control ros packages</p>\n</div>\n\n            \n          </div>'"
iai_common_msgs,http://rosindex.github.io/r/iai_common_msgs/,"hydro,jade,groovy,indigo","attache_msgs,data_vis_msgs,designator_integration_msgs,grasp_stability_msgs,iai_common_msgs,iai_content_msgs,iai_control_msgs,iai_kinematics_msgs,iai_robosherlock_msgs,iai_urdf_msgs,iai_wsg_50_msgs,json_prolog_msgs,person_msgs,planning_msgs,saphari_msgs,scanning_table_msgs","b'<div class=""panel-body"">\n            \n              \n<div class=""rendered-markdown"">\n<h1 id=""iai_common_msgs"">iai_common_msgs</h1>\n\n<p>Holds various ROS message definitions used by the IAI group, Universit\xc3\xa4t Bremen.</p>\n</div>\n\n            \n          </div>'"
jsk_robot,http://rosindex.github.io/r/jsk_robot/,"hydro,electric,diamondback,indigo","baxtereus,jsk_baxter_desktop,jsk_baxter_startup,jsk_baxter_web,fetcheus,jsk_fetch_startup,jsk_201504_miraikan,jsk_nao_startup,jsk_pepper_startup,nao_jsk_teleop,naoeus,naoqieus,peppereus,jsk_pr2_accessories,jsk_pr2_calibration,jsk_pr2_desktop,jsk_pr2_startup,pr2_base_trajectory_action,jsk_robot,jsk_robot_startup,jsk_robot_utils,roseus_remote","b'<div class=""panel-body"">\n            \n              \n<div class=""rendered-markdown"">\n<h1 id=""jsk_robot"">jsk_robot <a href=""https://travis-ci.org/jsk-ros-pkg/jsk_robot""><img src=""https://travis-ci.org/jsk-ros-pkg/jsk_robot.png?branch=master"" alt=""Build Status""></a>\n</h1>\n</div>\n\n            \n          </div><div class=""panel-body"">\n            \n              <em>No README found.</em>\n            \n          </div>'"
agvs_sim,http://rosindex.github.io/r/agvs_sim/,indigo,"agvs_control,agvs_gazebo,agvs_robot_control,agvs_sim,agvs_sim_bringup","b'<div class=""panel-body"">\n            \n              \n<div class=""rendered-markdown"">\n<h1 id=""agvs_sim"">agvs_sim</h1>\n\n<p>Agvs robot sim packages</p>\n\n<h2 id=""agvs_control"">agvs_control</h2>\n\n<p>This package contains the configuration files for the Gazebo controllers used by the model.</p>\n\n<h2 id=""agvs_gazebo"">agvs_gazebo</h2>\n\n<p>This package contains the configuration files to launch the Gazebo environment along with the simulated robot.</p>\n\n<h2 id=""agvs_robot_control"">agvs_robot_control</h2>\n\n<p>This package contains the simulated controlled that interfaces with Gazebo controllers.</p>\n\n<h2 id=""agvs_sim_bringup"">agvs_sim_bringup</h2>\n\n<p>This package contains all the launch and config files to launch all the needed packages to load the simulated environment.</p>\n</div>\n\n            \n          </div>'"
motoman,http://rosindex.github.io/r/motoman/,"hydro,jade,groovy,indigo","motoman,motoman_driver,motoman_mh5_support,motoman_msgs,motoman_sda10f_moveit_config,motoman_sda10f_support,motoman_sia10d_support,motoman_sia10f_support,motoman_sia20d_moveit_config,motoman_sia20d_support,motoman_sia5d_support,motoman_config,mh5_mesh_arm_navigation,sia10d_mesh_arm_navigation,sia20d_mesh_arm_navigation","b'<div class=""panel-body"">\n            \n              \n<div class=""rendered-markdown"">\n<h1 id=""motoman"">Motoman</h1>\n\n<p><a href=""http://www.ros.org/wiki/Industrial"">ROS-Industrial</a> motoman meta-package.  See the <a href=""http://ros.org/wiki/motoman"">ROS wiki</a> page for more information.  </p>\n\n<h2 id=""contents"">Contents</h2>\n\n<p>This repo holds source code for all versions &gt; groovy. For those versions &lt;= groovy see: <a href=""https://code.google.com/p/swri-ros-pkg/source/browse"">SVN repo</a></p>\n</div>\n\n            \n          </div><div class=""panel-body"">\n            \n              \n<div class=""rendered-markdown"">\n<h1 id=""motoman"">Motoman</h1>\n\n<p><a href=""http://build.ros.org/job/Idev__motoman__ubuntu_trusty_amd64""><img src=""http://build.ros.org/job/Idev__motoman__ubuntu_trusty_amd64/badge/icon"" alt=""Build Status""></a></p>\n\n<p><a href=""http://wiki.ros.org/Industrial"">ROS-Industrial</a> Motoman metapackage. See the <a href=""http://wiki.ros.org/motoman"">ROS wiki</a> page for more information.</p>\n\n<p>The <a href=""https://github.com/ros-industrial/motoman_experimental"">motoman_experimental</a> repository contains additional packages.</p>\n\n<h2 id=""contents"">Contents</h2>\n\n<p>Branch naming follows the ROS distribution they are compatible with. <code>-devel</code>\nbranches may be unstable. Releases are made from the distribution branches\n(<code>hydro</code>, <code>indigo</code>).</p>\n\n<p>Older releases may be found in the old ROS-Industrial <a href=""https://github.com/ros-industrial/swri-ros-pkg"">subversion repository</a>\narchive.</p>\n</div>\n\n            \n          </div>'"
industrial_metapackages,http://rosindex.github.io/r/industrial_metapackages/,"hydro,indigo",industrial_desktop,"b'<div class=""panel-body"">\n            \n              \n<div class=""rendered-markdown"">\n<h1 id=""metapackages"">metapackages</h1>\n\n<p>Top level ROS-Industrial meta-packages. <a href=""http://wiki.ros.org/Industrial"">http://wiki.ros.org/Industrial</a></p>\n</div>\n\n            \n          </div>'"
kuka_experimental,http://rosindex.github.io/r/kuka_experimental/,"hydro,indigo","kuka_experimental,kuka_kr120_support,kuka_kr16_support,kuka_kr210_support,kuka_kr6_support,kuka_lbr_iiwa_support,kuka_resources,kuka_rsi_hw_interface,kuka_rsi_simulator","b'<div class=""panel-body"">\n            \n              \n<div class=""rendered-markdown"">\n<h1 id=""kuka-experimental"">Kuka experimental</h1>\n\n<p><a href=""http://build.ros.org/job/Idev__kuka_experimental__ubuntu_trusty_amd64""><img src=""http://build.ros.org/job/Idev__kuka_experimental__ubuntu_trusty_amd64/badge/icon"" alt=""Build Status""></a></p>\n\n<p>Experimental packages for Kuka manipulators within <a href=""http://wiki.ros.org/Industrial"">ROS-Industrial</a>.\nSee the <a href=""http://wiki.ros.org/kuka_experimental"">ROS wiki</a> page for more information.</p>\n\n<h2 id=""contents"">Contents</h2>\n\n<p>This repository contains packages that will be migrated to the kuka (to be created)\nrepository after they have received sufficient testing. The contents of \nthese packages are subject to change, without prior notice. Any available \nAPIs are to be considered unstable and are not guaranteed to be complete \nand / or functional.</p>\n</div>\n\n            \n          </div><div class=""panel-body"">\n            \n              \n<div class=""rendered-markdown"">\n<h1 id=""kuka-experimental"">Kuka experimental</h1>\n\n<p>Experimental packages for Kuka manipulators within <a href=""http://wiki.ros.org/Industrial"">ROS-Industrial</a>.\nSee the <a href=""http://wiki.ros.org/kuka_experimental"">ROS wiki</a> page for more information.</p>\n\n<h2 id=""contents"">Contents</h2>\n\n<p>This repository contains packages that will be migrated to the kuka (to be created)\nrepository after they have received sufficient testing. The contents of \nthese packages are subject to change, without prior notice. Any available \nAPIs are to be considered unstable and are not guaranteed to be complete \nand / or functional.</p>\n</div>\n\n            \n          </div>'"
vrpn,http://rosindex.github.io/r/vrpn/,"jade,indigo",,"b'<div class=""panel-body"">\n            \n              \n<div class=""rendered-markdown""><div class=""highlight""><pre><code class=""language-"" data-lang="""">The initial release of VRPN (The Virtual Reality Peripheral Network) was placed into the public domain on 5/4/1998 by the copyright holder Russell M. Taylor II at the University of North Carolina at Chapel Hill.\n\nTo protect all VRPN contributors from liability without restricting the use of VRPN, as of July 22, 2010, future versions of VRPN (versions 7.27 and higher) are being released under the Boost Software License 1.0, which is as follows:\n\nBoost Software License 1.0 (BSL1.0)\n\nPermission is hereby granted, free of charge, to any person or organization obtaining a copy of the software and accompanying documentation covered by this license (the ""Software"") to use, reproduce, display, distribute, execute, and transmit the Software, and to prepare derivative works of the Software, and to permit third-parties to whom the Software is furnished to do so, all subject to the following:\n\nThe copyright notices in the Software and this entire statement, including the above license grant, this restriction and the following disclaimer, must be included in all copies of the Software, in whole or in part, and all derivative works of the Software, unless such copies or derivative works are solely in the form of machine-executable object code generated by a source language processor.\n\nTHE SOFTWARE IS PROVIDED ""AS IS"", WITHOUT WARRANTY OF ANY KIND, EXPRESS OR IMPLIED, INCLUDING BUT NOT LIMITED TO THE WARRANTIES OF MERCHANTABILITY, FITNESS FOR A PARTICULAR PURPOSE, TITLE AND NON-INFRINGEMENT. IN NO EVENT SHALL THE COPYRIGHT HOLDERS OR ANYONE DISTRIBUTING THE SOFTWARE BE LIABLE FOR ANY DAMAGES OR OTHER LIABILITY, WHETHER IN CONTRACT, TORT OR OTHERWISE, ARISING FROM, OUT OF OR IN CONNECTION WITH THE SOFTWARE OR THE USE OR OTHER DEALINGS IN THE SOFTWARE.\n\nAdditional requests follow:\n\n1. Please acknowledge this library in any publication, written, videotaped,\n    or otherwise produced, that results from making programs using it.\n    The acknowledgement will credit\n\n    CISMM Project\n    University of North Carolina at Chapel Hill,\n    Supported by the NIH/NCRR and the NIH/NIBIB.\n\n2. Please furnish us a copy of any publication, including videotape,\n    that you produce and disseminate outside your group using our\n    program.  These should be addressed to Professor R.M. Taylor\n    at taylorr@cs.unc.edu.\n\n3. Please send us derived classes and drivers for new devices that you\n    create for the library.  We will attempt to include them in\n    future releases of the library for you and others to use.  This\n    is the fastest way to get a working system for everyone.\n\n\n\n</code></pre></div></div>\n\n            \n          </div>'"
robotican,http://rosindex.github.io/r/robotican/,indigo,"ric_board,robotican,robotican_armadillo,robotican_common,robotican_controllers,robotican_demos,robotican_gui,robotican_h_manipulator,robotican_hardware_interface,robotican_komodo,robotican_lizi","b'<div class=""panel-body"">\n            \n              <em>No README found.</em>\n            \n          </div>'"
